time,x,y,ref_x,ref_y,err_y,phi_cmd
3232.6399,3.6556,4.1406,3.8000,3.4941,0.6620,-0.0600
3232.6599,3.6547,4.1406,3.8000,3.4941,0.6622,-0.1200
3232.6799,3.6559,4.1391,3.8000,3.4941,0.6605,-0.1306
3232.7199,3.6665,4.1317,3.8000,3.4941,0.6513,-0.0706
3232.7399,3.6746,4.1290,3.8000,3.4941,0.6471,-0.1057
3232.7599,3.6854,4.1296,3.8000,3.4941,0.6457,-0.1307
3232.7999,3.7142,4.1276,3.8000,3.4941,0.6384,-0.0756
3232.8199,3.7320,4.1268,3.8000,3.4941,0.6342,-0.1032
3232.8599,3.7753,4.1270,3.8000,3.4941,0.6265,-0.0687
3232.8799,3.8003,4.1262,4.0000,3.5319,0.6210,-0.0884
3232.9199,3.8566,4.1248,4.0000,3.5319,0.6092,-0.0293
3232.9399,3.8876,4.1234,4.0000,3.5319,0.6021,-0.0691
3232.9799,3.9551,4.1214,4.0000,3.5319,0.5876,-0.0091
3232.9999,3.9910,4.1196,4.0000,3.5319,0.5792,-0.0528
3233.0399,4.0675,4.1170,4.2000,3.5695,0.5625,0.0072
3233.0599,4.1074,4.1152,4.2000,3.5695,0.5534,-0.0407
3233.0999,4.1904,4.1125,4.2000,3.5695,0.5354,0.0193
3233.1199,4.2332,4.1109,4.4000,3.6069,0.5261,-0.0324
3233.1599,4.3211,4.1084,4.4000,3.6069,0.5074,0.0276
3233.1799,4.3662,4.1070,4.4000,3.6069,0.4978,-0.0241
3233.2199,4.4579,4.1048,4.6000,3.6442,0.4788,0.0359
3233.2399,4.5046,4.1036,4.6000,3.6442,0.4691,-0.0168
3233.2799,4.5992,4.1016,4.6000,3.6442,0.4499,0.0432
3233.2999,4.6471,4.1006,4.8000,3.6813,0.4401,-0.0102
3233.3399,4.7436,4.0989,4.8000,3.6813,0.4209,0.0498
3233.3599,4.7923,4.0981,4.8000,3.6813,0.4112,-0.0042
3233.3999,4.8902,4.0967,5.0000,3.7182,0.3921,0.0558
3233.4199,4.9395,4.0960,5.0000,3.7182,0.3825,0.0011
3233.4599,5.0383,4.0950,5.2000,3.7549,0.3636,0.0611
3233.4999,5.0880,4.0945,5.2000,3.7549,0.3541,0.0061
3233.5199,5.1873,4.0941,5.2000,3.7549,0.3359,0.0661
3233.5599,5.2870,4.0940,5.4000,3.7915,0.3178,0.0916
3233.5799,5.3368,4.0942,5.4000,3.7915,0.3092,0.0316
3233.6199,5.4366,4.0948,5.4000,3.7915,0.2918,0.0906
3233.6399,5.4868,4.0953,5.6000,3.8278,0.2834,0.0306
3233.6799,5.5870,4.0964,5.6000,3.8278,0.2666,0.0906
3233.6999,5.6374,4.0971,5.6000,3.8278,0.2583,0.0306
3233.7399,5.7378,4.0986,5.8000,3.8639,0.2420,0.0906
3233.7599,5.7882,4.0994,5.8000,3.8639,0.2338,0.0306
3233.7999,5.8384,4.1004,5.8000,3.8639,0.2259,0.0203
3233.8199,5.9394,4.1021,6.0000,3.8998,0.2098,0.0803
3233.8599,5.9900,4.1030,6.0000,3.8998,0.2017,0.0270
3233.8799,6.0905,4.1052,6.2000,3.9355,0.1863,0.0870
3233.8999,6.1411,4.1065,6.2000,3.9355,0.1786,0.0283
3233.9399,6.2420,4.1091,6.2000,3.9355,0.1635,0.0883
3233.9799,6.2927,4.1103,6.4000,3.9710,0.1559,0.0337
3233.9999,6.3936,4.1131,6.4000,3.9710,0.1411,0.0937
3234.0399,6.4946,4.1159,6.6000,4.0062,0.1263,0.1038
3234.0599,6.5449,4.1177,6.6000,4.0062,0.1194,0.0438
3234.0999,6.6456,4.1211,6.6000,4.0062,0.1053,0.1025
3234.1199,6.6963,4.1230,6.8000,4.0411,0.0984,0.0425
3234.1599,6.7974,4.1270,6.8000,4.0411,0.0850,0.1009
3234.1799,6.8482,4.1290,6.8000,4.0411,0.0783,0.0424
3234.2199,6.8987,4.1311,7.0000,4.0759,0.0717,0.0421
3234.2399,7.0003,4.1354,7.0000,4.0759,0.0586,0.1021
3234.2799,7.0511,4.1375,7.0000,4.0759,0.0520,0.0471
3234.2999,7.1523,4.1422,7.2000,4.1103,0.0395,0.1024
3234.3199,7.2032,4.1449,7.2000,4.1103,0.0336,0.0452
3234.3599,7.3047,4.1501,7.4000,4.1445,0.0215,0.1028
3234.3799,7.3557,4.1527,7.4000,4.1445,0.0155,0.0497
3234.4199,7.4572,4.1583,7.4000,4.1445,0.0040,0.1017
3234.4599,7.5587,4.1637,7.6000,4.1784,-0.0077,0.1058
3234.4799,7.6093,4.1667,7.6000,4.1784,-0.0131,0.0504
3234.5199,7.6599,4.1700,7.6000,4.1784,-0.0183,0.0499
3234.5399,7.7618,4.1765,7.8000,4.2121,-0.0287,0.0993
3234.5799,7.8127,4.1797,7.8000,4.2121,-0.0340,0.0544
3234.5999,7.9141,4.1862,8.0000,4.2454,-0.0444,0.1019
3234.6199,7.9649,4.1894,8.0000,4.2454,-0.0495,0.0559
3234.6599,8.0663,4.1962,8.0000,4.2454,-0.0594,0.1012
3234.6799,8.1171,4.1997,8.2000,4.2785,-0.0643,0.0577
3234.7199,8.2185,4.2068,8.2000,4.2785,-0.0738,0.1002
3234.7399,8.2692,4.2104,8.2000,4.2785,-0.0785,0.0587
3234.7799,8.3705,4.2178,8.4000,4.3113,-0.0875,0.0995
3234.7999,8.4213,4.2216,8.4000,4.3113,-0.0919,0.0595
3234.8399,8.5225,4.2294,8.6000,4.3437,-0.1005,0.0987
3234.8599,8.5733,4.2333,8.6000,4.3437,-0.1047,0.0602
3234.8999,8.6745,4.2414,8.6000,4.3437,-0.1129,0.0973
3234.9199,8.7252,4.2455,8.8000,4.3759,-0.1169,0.0614
3234.9599,8.8263,4.2539,8.8000,4.3759,-0.1246,0.0957
3234.9799,8.8769,4.2581,8.8000,4.3759,-0.1284,0.0619
3235.0199,8.9780,4.2669,9.0000,4.4077,-0.1357,0.0946
3235.0399,9.0286,4.2713,9.0000,4.4077,-0.1392,0.0623
3235.0799,9.1297,4.2803,9.2000,4.4392,-0.1461,0.0935
3235.0999,9.1803,4.2848,9.2000,4.4392,-0.1495,0.0625
3235.1399,9.2812,4.2942,9.2000,4.4392,-0.1559,0.0916
3235.1599,9.3317,4.2988,9.4000,4.4704,-0.1591,0.0632
3235.1999,9.4326,4.3085,9.4000,4.4704,-0.1650,0.0896
3235.2199,9.4831,4.3133,9.4000,4.4704,-0.1680,0.0633
3235.2399,9.5334,4.3181,9.6000,4.5012,-0.1709,0.0638
3235.2799,9.6344,4.3281,9.6000,4.5012,-0.1763,0.0869
3235.2999,9.6848,4.3331,9.6000,4.5012,-0.1790,0.0637
3235.3399,9.7856,4.3433,9.8000,4.5318,-0.1841,0.0861
3235.3599,9.8361,4.3485,9.8000,4.5318,-0.1866,0.0632
3235.3999,9.9368,4.3590,10.0000,4.5619,-0.1913,0.0844
3235.4399,9.9873,4.3643,10.0000,4.5619,-0.1936,0.0628
3235.4599,10.0879,4.3750,10.0000,4.5619,-0.1978,0.0819
3235.4799,10.1383,4.3807,10.2000,4.5917,-0.1997,0.0613
3235.5199,10.2391,4.3919,10.2000,4.5917,-0.2034,0.0780
3235.5399,10.2896,4.3975,10.2000,4.5917,-0.2053,0.0618
3235.5799,10.3904,4.4088,10.4000,4.6212,-0.2087,0.0770
3235.5999,10.4408,4.4145,10.4000,4.6212,-0.2103,0.0615
3235.6399,10.5416,4.4261,10.6000,4.6502,-0.2135,0.0754
